Casa Mineira,280079,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Passos,452,30710540,2,103,2,0,1,65,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,295000,,,Mensalmente,,,,,,893583030,,2022-03-09 12:45
Casa Mineira,397312,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa em condomínio,Alameda Perimetral das Orquídeas,2021,34004840,,,0,0,0,1001,,Não,0,* Frente * Claro / Arejado * Cozinha Americana * Vista Panorâmica * Reformado. Apto: Varanda incorporada. Garagem: Proprietário aluga vaga no próprio prédio.,DESOCUPADO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1100000,,,Mensalmente,,,,,,1,Este imóvel está fora da área de atuação de venda.,
Casa Mineira,269782,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Cobertura,Avenida Raja Gabaglia,1123,30380403,6,601,4,1,3,450,,Não,3,3 VAGAS DE GARAGEM EM LINHA SENDO 1 COBERTA -CASA POSSUI UMA EDICULA COM SALA E BANHO.,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,2500000,,632,Mensalmente,,,,,,E,,
Casa Mineira,261908,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Professor Baroni,185,30441180,1,201,4,1,3,257,,Não,3,"Casa em ótimo estado de conservação, com 04 quartos, 01 suíte com hidro e closet, banho social, lavabo, 03 salas (visita/jantar/TV), pé direito elevado, escritório, cozinha ampla com despensa, Lavanderia, DCE, quarto suíte para caseiro, Varandão externo com espaço gourmet, churrasqueira, gasebo, jardins, piscina, canil, garagem para 04 veículos com quarto e boxes para despejo.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1150000,,,Mensalmente,,,,,,893583074,,2022-03-09 12:56
Casa Mineira,371819,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Calábria,649,31340510,,,4,2,6,800,,Não,9,Sala grande para 2 ambientes,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,5500000,,,Mensalmente,,,,,,893583079,,2022-03-09 12:57
Casa Mineira,339054,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Itapecerica,911,31210030,,LOTE,0,0,1,550,,Não,0,Lote com 4 barracões de 2 quartos 200 m da Av. Ageo Pio Sobrinho,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,754000,,0,Mensalmente,,,,,,1,Este imóvel está fora da área de atuação de venda.,
Casa Mineira,110540,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa em condomínio,Rua Estrela da Manhã,195,34008095,,,4,3,5,850,,Não,7,"* Frente * Closet * Claro / Arejado * Área de Servico * Box Despejo * Banho Empregada * Quarto Empregada * Vista Panorâmica * Pé Direito Elevado. Apto: Dois lances de escada, box c/ 30m ,  pode ser feito home oficce. Garagem: 2 vagas cobertas e livre.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,7300000,,,Mensalmente,,,,,,1,Este imóvel está fora da área de atuação de venda.,
Casa Mineira,318009,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Reginaldo Cunha Balaguer,270,31370000,,Casa,3,1,2,304,,Não,6,"Apartamento grande,bem distribuído e em bom estado de conservação.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1750000,,,Mensalmente,,,,,,1,Este imóvel está fora da área de atuação de venda.,
Casa Mineira,13670,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Cobertura,RUA SILVA FORTES,385,31160320,,401,3,1,3,100,,Não,2,"Linda e aconchegante casa. No lote possui três casas.  A casa principal, contendo 2 quartos, sendo um deles, suíte,  sala de estar, sala de jantar, cozinha, despensa, dce, um banho social, duas varandas, área de serviço e lavanderia.  Casa 2 - uma suíte com Mezanino. Casa 3- Dois quartos, um closet em um dos quartos, uma sala de estar, uma cozinha, duas varandas, um banheiro social e  área de serviço. Piscina, sauna, churrasqueira, várias árvores frutíferas, canil, quarto de ferramentas e box de despejo.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,450000,,,Mensalmente,,,,,,1,Elemento não encontrado na pagina 'Detalhe do imovel',
Casa Mineira,322264,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Júpiter,39,30360590,2,201,3,1,2,83,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,340000,,,Mensalmente,,,,,,893583000,,2022-03-09 13:01
