Casa Mineira,261601,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Avenida Padre Vieira,218,30730240,4,401,4,1,3,140,,Não,2,"Garagem: 2 vagas cobertas e livres.""",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,780000,550,,Mensalmente,,,,,,893583301,,,,
Casa Mineira,339826,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Maria Ferreira da Silva,525,31920350,4,404 - Bl 2,3,1,2,70,,Não,2,"SALA PARA 03 AMBINTES
 APARTAMENTO COM 168 M2 + UMA AREA PRIVATIVA ACESSORIA COM 162 M2",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,340000,,,Mensalmente,,,,,,893583309,,,,
Casa Mineira,393984,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Cobertura,Rua Porto Carrero,111,30441185,7,701,4,1,3,140,,Não,4,"Linda vista panorâmica. Lazer completo e condomínio super em conta considerando os benefícios do local. Construtora Lider.  DCE - Armários semi-novos, super conservados.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,950000,1200,,Mensalmente,,,,,,E,,,,
Casa Mineira,367142,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua José Maria de Resende,106,31520070,,,3,1,2,200,,Não,2,,INQUILINO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,545000,0,125,Mensalmente,,,,,,E,,,,
Casa Mineira,238673,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Garumã,47,31270370,3,Apto 301,4,2,4,140,,Não,4,"Apto de fundos - com linda vista para estação central, viaduto Santa Tereza e prédios da região central.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1200000,,,Mensalmente,,,,,,893583351,,,,
Casa Mineira,400680,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Desembargador Drumond,72,30220030,3,301,4,1,3,195,,Não,4,"Casa possui Habite-se, totalmente plana(linear) e com rampas de acesso a áreas externas.
 Área Externa com horta, muitas árvores frutíferas(Ingá, manga, mamão, sapoti, abacaxi, ameixa, graviola, mexerica, amora, maçã, banana, maracujá, fruta do conde, jabuticaba;
 Coletores para água da chuva com sistema de irrigação para as plantas;
 Engenho de cana;
 Fornalha;
 Moinho de fubá;
 Edícula com 2 quartos e banheiro;",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1287000,,,Mensalmente,,,,,,893583369,,,,
Casa Mineira,412356,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Deputado Salim Nacur,173,31555190,6,604 BL 3,2,1,2,65,,Não,1,Vagas paralelas,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,380000,,,Mensalmente,,,,,,893583378,,,,
Casa Mineira,412358,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Deputado Salim Nacur,173,31555190,7,704 BL 3,2,1,2,65,,Não,1,,INQUILINO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,380000,,,Mensalmente,,,,,,E,,,,
Casa Mineira,390103,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Cobertura,Rua Maestro George Marinuzzi,268,30840620,3,301,3,1,3,130,,Não,2,"Valor do condomínio 546,00 +50,00 Fundo reserva. Total 596,00 (inclui agua e gás). Condomínio tem 3 blocos",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,550000,240,126,Mensalmente,,,,,,E,,,,
Casa Mineira,280172,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Bambuí,55,30210490,1,1A,3,0,2,90,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,450000,300,150,Mensalmente,,,,,,E,,,,
Casa Mineira,273264,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Campos Sales,677,30421049,,,3,0,3,281,,Não,0,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,780000,,279,Mensalmente,,,,,,E,,,,
Casa Mineira,385535,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Coronel Pedro Jorge,123,30411105,5,502,2,1,1,83,,Não,3,"* Frente * Claro / Arejado * Área de Servico * Banho Empregada * Acabamento Luxo * Teto Rebaixado * Iluminação Planejada * Reformado * Decorado. Apto: Varanda incorporada / Teto rebaixado c/ projeto de iluminação e preparação p/ som, possui o quarto do dce reversível / Impecável. Garagem: 2 vagas cobertas.",DESOCUPADO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,770000,500,,Mensalmente,,,,,,893583436,,,,
Casa Mineira,385536,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Coronel Pedro Jorge,123,30411105,1,101,2,1,2,83,,Não,4,,DESOCUPADO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,890000,500,,Mensalmente,,,,,,893583446,,,,
Casa Mineira,95111,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,RUA CORINTO,73,30220310,1,102,3,0,1,110,,Não,3,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,450000,,,Mensalmente,,,,,,893583457,,,,
