Casa Mineira,348346,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Avenida Carandaí,78,30130060,3,302,4,1,3,150,,Não,2,Partes hidráulicas reformadas.,INQUILINO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1050000,,360,Mensalmente,,,,,,E,,,,
Casa Mineira,425737,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Veraldo Lambertucci,131,30240540,2,2,3,1,2,115,,Não,1,"o imóvel fica na andar 02, abaixo do nível da rua.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,420000,,,Mensalmente,,,,,,893583312,,,erro-sem_imgs,
Casa Mineira,218725,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Santa Rita Durão,700,30140111,13,1304,4,2,4,130,,Não,3,"Ampla sala, apto. finamente decorado, acabamento luxo, transformou 01 quarto em sala de tv, fácil voltar.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1700000,,740,Mensalmente,,,,,,893583324,,,ok-img (2022-03-10 17:37:31),
Casa Mineira,280108,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Bernardo Guimarães,250,30140080,6,601,4,2,4,150,,Não,3,Integrou a varanda a sala.,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1890000,2500,690,Mensalmente,,,,,,893583334,,,ok-img (2022-03-10 17:39:22),
Casa Mineira,424662,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua dos Otoni,301,30150270,6,602,4,1,2,120,,Não,2,Abriu um quarto ampliando a sala.,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1170000,1211,,Mensalmente,,,,,,893583346,,,erro-sem_imgs,
Casa Mineira,269236,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Rio Grande do Norte,1015,30130135,11,1107,1,1,1,38,,Não,1,Apartamento no pool,DESOCUPADO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,270000,,,Mensalmente,,,,,,893583361,,,ok-img (2022-03-10 17:39:56),
Casa Mineira,258127,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Resedá,46,30240410,,casa,4,1,2,267,,Não,6,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,900000,,194,Mensalmente,,,,,,E,,,,
Casa Mineira,427912,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Ceará,1166,30150313,2,203,2,0,1,70,,Não,1,"Apto em ótima localização! Partes frias reformadas, atualmente o prédio possui 10 vagas para 12 apts!",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,430000,300,174,Mensalmente,,,,,,893583379,,,erro-sem_imgs,
Casa Mineira,233573,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Gonçalves Dias,759,30140091,3,APT 302,4,2,4,140,,Não,2,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1600000,1900,,Mensalmente,,,,,,893583388,,,ok-img (2022-03-10 17:41:47),
Casa Mineira,326169,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Professor Octaviano de Almeida,131,30260020,4,403,3,1,2,91,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,670000,846,227,Mensalmente,,,,,,893583398,,,ok-img (2022-03-10 17:42:46),
