Casa Mineira,345862,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Nunes Vieira,304,30350120,14,1402,2,0,1,62,,Não,1,,DESOCUPADO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,375000,750,122,Mensalmente,,,,,,0
Casa Mineira,324747,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Conselheiro Quintiliano Silva,330,30350040,,,4,1,2,150,,Não,2,sugestão de construção 6 aptos de 65m2,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,990000,,335,Mensalmente,,,,,,0
Casa Mineira,377132,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Alameda do Morro,110,34006083,10,1002,1,1,2,56,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,930000,,,Mensalmente,,,,,,0
Casa Mineira,212165,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Senador Amaral,195,30315180,,,4,3,6,418,,Não,4,casa super conservada,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,2100000,0,0,Mensalmente,,,,,,0
Casa Mineira,412608,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Venezuela,302,30315250,2,202,3,1,2,90,,Não,1,".Apartamento impecável! !!!  Amplo , arejado,  iluminado e silencioso !!! .Cozinha e área de serviço  e banheiros reformados, armários novos em 2 quartos. .São 2 salas , 3 quartos sendo 1 suíte, banho social, cozinha e DCE. .1 vaga livre e coberta. Obs: Existem 2 acessos para o apartamento, um pela rua principal em acesso em porta exclusiva para pedestres pela garagem, e o outro acesso pela rua lateral. Localização: Rua plana, próximo a o comércio e ao Colégio Santa Dorotéia.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,485000,360,176,Mensalmente,,,,,,0
Casa Mineira,227565,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Emílio Pinheiro de Barros,75,30360130,,casa,4,3,5,398,,Não,4,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1750000,,450,Mensalmente,,,,,,0
Casa Mineira,375057,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Via Láctea,330,30360270,1,101,3,1,2,95,,Não,1,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,390000,,,Mensalmente,,,,,,0
Casa Mineira,270774,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Casa,Rua Saturno,54,30360560,,,4,4,5,496,,Não,4,"Piso principal temos uma sala ampla para 2 ambientes, lareira e lavabo. Sala de jantar, escritório e cozinha com acesso para uma área externa coberta. Piso superior temos um estar íntimo e 4 suítes. No piso inferior, temos área de serviço, quarto e banho  para funcionária e 4 vagas de garagem cobertas e livres mas cabem até 6 carros. Temos ainda um amplo salão de festa, quarto de despejo e banheiro com acesso independente pelos 3 andares.",PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,1600000,,,Mensalmente,,,,,,0
Casa Mineira,212646,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Cobertura,Rua das Estrelas,135,34006089,15,1402,4,2,4,402,,Não,4,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,4250000,,,Mensalmente,,,,,,0
Casa Mineira,240099,22/02/2022,Sim,[FS-CM],Secretaria Casa Mineira,3125333000,secretaria@casamineira.com,Sim,,,Apartamento,Rua Nicarágua,127,30320050,2,201,3,1,2,110,,Não,2,,PROPRIETÁRIO,Sim,Chave Comum,Local da Chave com Secretaria da Casa Mineira,Local da Chave com Secretaria da Casa Mineira,Não,[FS-CM],Sim,480000,500,137,Mensalmente,,,,,,0
